trip_id,route_id,service_id,trip_headsign,block_id,shape_id
1491,2,1,Inbound,6603,41
1066,14,3,Inbound,4401,72
1937,15,2,Inbound,6402,40
2026,20,1,Outbound,9401,64
846,7,3,Outbound,4102,4
1295,35,2,Outbound,1012,19
2047,20,1,Inbound,9404,9
2152,29,2,Inbound,4301,56
977,13,1,Outbound,4403,69
291,7,2,Inbound,4102,0
1465,2,1,Outbound,4103,32
423,14,2,Outbound,4405,48
334,7,3,Inbound,4102,0
704,33,3,Outbound,6602,23
1672,5,1,Outbound,6011,1
1312,35,2,Inbound,1012,74
1877,13,3,Inbound,4404,21
405,10,2,Outbound,6001,28
1455,1,3,Inbound,1201,51
2344,13,2,Inbound,6202,21
864,29,1,Outbound,6201,59
1298,35,2,Outbound,1011,19
2129,11,1,Outbound,9404,2
1196,18,1,Outbound,6801,15
1698,5,1,Inbound,6002,22
1953,15,3,Inbound,6403,40
330,7,3,Inbound,4102,0
717,33,3,Inbound,6602,78
1543,2,2,Inbound,6402,41
2023,20,1,Outbound,9401,64
242,1,3,Outbound,6401,34
1819,12,1,Inbound,6002,24
135,8,1,Inbound,6201,33
1356,23,2,Inbound,9902,26
1896,14,1,Inbound,4405,67
1584,5,3,Inbound,6001,22
578,16,3,Outbound,6604,14
1407,1,1,Outbound,1221,34
275,7,2,Outbound,4102,4
1706,5,1,Inbound,6022,22
2358,14,2,Outbound,4402,48
1921,15,1,Inbound,6421,40
844,1,3,Outbound,6402,34
2077,20,3,Outbound,9401,36
1909,15,1,Inbound,6412,40
1956,15,3,Inbound,6403,40
752,35,1,Outbound,1013,5
1114,16,1,Inbound,6605,18
1429,1,1,Inbound,1202,70
398,8,3,Inbound,4403,33
2375,14,2,Inbound,6202,72
1746,9,2,Outbound,1202,17
1492,2,1,Inbound,4103,41
1744,9,1,Inbound,1221,66
764,35,1,Outbound,1013,5
128,8,1,Inbound,4401,33
1638,28,1,Inbound,4221,13
995,13,1,Inbound,6204,21
339,7,3,Inbound,4101,0
997,13,1,Inbound,4402,21
950,10,1,Inbound,6803,7
281,7,2,Outbound,4101,4
28,2,1,Outbound,6603,32
144,8,1,Inbound,4406,33
72,7,1,Inbound,4103,0
1019,14,1,Outbound,6203,54
1764,9,2,Inbound,1202,16
1665,5,2,Inbound,6003,22
1757,9,2,Inbound,1201,16
1044,14,2,Inbound,4402,72
1591,7,1,Outbound,4122,4
1488,2,1,Inbound,4101,41
860,29,1,Outbound,6204,59
1682,5,1,Outbound,6001,1
712,33,3,Inbound,6601,78
1653,5,2,Outbound,6003,1
1368,21,1,Outbound,9902,29
709,33,3,Inbound,6602,78
386,8,3,Outbound,4402,8
965,13,1,Outbound,4405,69
2176,35,1,Inbound,1011,47
502,10,2,Inbound,6003,7
885,8,2,Outbound,4403,8
1926,15,1,Inbound,6422,65
1437,1,2,Inbound,1202,51
320,7,3,Outbound,4101,4
936,10,1,Inbound,6802,7
1028,14,1,Outbound,6201,54
1930,15,2,Inbound,6401,40
518,12,2,Inbound,6003,24
1227,18,1,Inbound,6821,61
178,11,1,Inbound,9402,3
2055,20,2,Outbound,9402,36
1642,8,2,Outbound,6204,8
1041,14,1,Inbound,6201,67
1124,16,1,Inbound,6605,18
256,7,2,Outbound,4101,4
2370,14,2,Inbound,4401,72
913,10,1,Outbound,6801,28
1923,15,1,Inbound,6422,40
1056,14,3,Outbound,4403,48
559,16,2,Outbound,6604,14
944,10,1,Inbound,6803,7
2151,29,2,Inbound,4301,56
140,8,1,Inbound,4402,33
1721,9,1,Outbound,1202,17
1788,10,3,Inbound,6002,7
2019,20,1,Outbound,9401,64
1902,14,2,Inbound,4403,73
540,16,1,Outbound,6604,42
1260,35,2,Outbound,1011,19
2143,29,2,Outbound,4301,59
274,7,2,Outbound,4101,4
1402,1,1,Outbound,1202,34
1994,17,2,Outbound,6701,10
1588,7,1,Outbound,4102,4
1207,18,1,Outbound,6812,71
159,11,1,Inbound,9405,3
931,10,1,Inbound,6804,7
827,35,1,Inbound,1011,47
1804,12,1,Outbound,6002,52
186,13,1,Outbound,4406,69
2044,20,1,Inbound,9404,9
1175,16,3,Inbound,6604,18
1964,17,1,Outbound,6701,10
1647,5,2,Outbound,6003,1
485,29,1,Inbound,4404,56
2073,20,3,Outbound,9401,36
1327,35,2,Inbound,1011,74
1787,10,3,Inbound,6001,7
1613,28,1,Outbound,4211,12
1236,18,2,Outbound,6801,15
1137,16,2,Inbound,6604,18
243,2,3,Outbound,1201,32
802,35,1,Inbound,1013,47
75,7,1,Inbound,4102,0
1209,18,1,Inbound,6802,27
1486,2,1,Inbound,6605,41
40,7,1,Outbound,4101,4
909,10,1,Outbound,6802,28
1092,15,2,Outbound,6402,53
1214,18,1,Inbound,6801,27
952,10,1,Inbound,6801,7
1422,1,1,Inbound,1201,70
2305,11,2,Inbound,6602,3
1477,2,1,Outbound,4103,32
1583,5,3,Inbound,6003,22
1243,18,2,Inbound,6802,27
180,11,1,Inbound,9403,3
2341,13,2,Outbound,6204,43
918,10,1,Outbound,6804,28
1885,14,1,Outbound,4405,54
507,12,2,Outbound,6001,20
1616,28,1,Outbound,4201,12
2387,18,3,Inbound,6801,27
1887,14,1,Inbound,4404,67
536,16,1,Outbound,6601,42
1771,10,3,Outbound,6003,28
699,33,3,Outbound,6601,23
1542,2,2,Inbound,6401,41
1728,9,1,Inbound,1201,66
924,10,1,Outbound,6822,28
1397,1,1,Outbound,1201,34
582,16,3,Outbound,6604,14
292,7,2,Inbound,4101,0
1344,35,2,Inbound,1012,74
1517,2,1,Inbound,6601,41
2378,14,2,Inbound,4405,72
1830,12,3,Outbound,6002,20
190,13,1,Outbound,4403,69
2319,11,2,Inbound,6601,3
2087,23,3,Outbound,9901,55
282,7,2,Inbound,4101,0
1320,35,2,Inbound,1012,74
1062,14,3,Inbound,4401,72
352,8,2,Outbound,4401,8
1506,2,1,Inbound,4102,41
1228,18,2,Outbound,6801,15
189,13,1,Outbound,4401,69
720,33,3,Inbound,6601,78
1925,15,1,Inbound,6401,40
1961,15,3,Inbound,6402,40
1555,2,3,Inbound,6402,41
1404,1,1,Outbound,1211,34
1870,13,3,Outbound,4402,43
1449,1,2,Inbound,6403,51
1828,12,1,Inbound,6002,45
2266,35,1,Outbound,1011,5
1396,1,1,Outbound,1202,34
2082,20,3,Inbound,9401,9
1911,15,1,Inbound,6401,40
1604,7,2,Outbound,4102,4
2301,11,2,Outbound,6604,2
422,13,2,Outbound,4404,43
1226,18,1,Inbound,6803,61
1118,16,1,Inbound,6604,18
1123,16,1,Inbound,6604,18
310,7,3,Outbound,4101,4
1282,35,2,Outbound,1011,19
2045,20,1,Inbound,9403,9
1111,16,1,Inbound,6602,18
1290,35,2,Outbound,1011,19
95,8,1,Outbound,4405,8
2080,20,3,Inbound,9401,9
1916,15,1,Inbound,6402,40
1639,28,1,Inbound,4221,13
1778,10,3,Outbound,6001,28
1992,17,2,Outbound,6701,10
532,16,1,Outbound,6603,42
2292,11,2,Outbound,6602,2
1191,18,1,Outbound,6802,15
174,11,1,Inbound,9402,3
602,11,1,Outbound,9405,2
1000,13,1,Inbound,4401,21
2216,35,1,Inbound,1011,47
41,7,1,Outbound,4102,4
307,7,2,Inbound,4101,0
618,11,1,Outbound,9405,2
835,35,1,Inbound,1013,47
851,7,3,Inbound,4102,0
596,11,1,Outbound,9402,2
2306,11,2,Inbound,6603,3
761,35,1,Outbound,1013,5
2322,11,2,Inbound,6604,3
946,10,1,Inbound,6801,7
452,2,2,Outbound,1201,32
1081,15,1,Outbound,6401,53
612,11,1,Outbound,9402,2
1417,1,1,Inbound,1201,70
564,16,2,Outbound,6604,14
1210,18,1,Inbound,6803,27
1217,18,1,Inbound,6801,27
153,8,1,Inbound,4404,33
1095,15,2,Outbound,6402,53
500,10,2,Inbound,6001,7
471,29,1,Outbound,4402,59
293,7,2,Inbound,4102,0
338,7,3,Inbound,4102,0
1614,28,1,Outbound,4211,12
1480,2,1,Outbound,4102,32
1981,17,1,Inbound,6701,11
938,10,1,Inbound,6803,7
394,8,3,Inbound,4403,33
2074,20,3,Outbound,9401,36
852,29,1,Outbound,4406,59
1688,5,1,Outbound,6021,1
85,7,1,Inbound,4104,0
1367,21,1,Outbound,9901,29
191,13,1,Outbound,4402,69
2124,7,1,Outbound,4112,4
1128,16,1,Inbound,6604,18
1687,5,1,Outbound,6022,1
587,16,3,Outbound,6601,14
393,8,3,Inbound,4402,33
1116,16,1,Inbound,6602,18
1907,15,1,Inbound,6411,40
899,8,2,Inbound,6203,33
1299,35,2,Inbound,1011,74
1343,35,2,Inbound,1011,74
2357,14,2,Outbound,4401,48
1306,35,2,Inbound,1012,74
1657,5,2,Inbound,6001,22
2083,20,3,Inbound,9401,9
265,7,2,Outbound,4102,4
2269,35,1,Outbound,1012,5
690,33,3,Outbound,6604,23
1835,12,3,Outbound,6001,20
1553,2,3,Inbound,6403,41
1766,9,2,Inbound,1202,16
1289,35,2,Outbound,1012,19
82,7,1,Inbound,4101,0
2031,20,1,Outbound,9403,64
1888,14,1,Inbound,4405,67
2353,13,2,Inbound,6202,21
778,35,1,Outbound,1012,5
1503,2,1,Inbound,6604,41
884,8,2,Outbound,4401,8
2408,39,1,Outbound,9926,57
1027,14,1,Outbound,4407,54
1094,15,2,Outbound,6401,53
1454,1,3,Inbound,1201,51
2393,18,3,Inbound,6801,27
302,7,2,Inbound,4101,0
998,13,1,Inbound,4403,21
1696,5,1,Inbound,6002,22
2365,14,2,Outbound,4405,48
807,35,1,Inbound,1012,47
424,14,2,Outbound,4402,48
1016,14,1,Outbound,4407,54
2317,11,2,Inbound,6604,3
1125,16,1,Inbound,6601,18
875,29,1,Inbound,4404,56
498,10,2,Inbound,6002,7
2373,14,2,Inbound,4404,72
1342,35,2,Inbound,1012,74
103,8,1,Outbound,6201,8
2230,35,1,Outbound,1011,5
2133,18,1,Inbound,6802,27
451,2,1,Outbound,6604,32
1960,15,3,Inbound,6401,40
1556,2,3,Inbound,6403,41
2011,17,2,Inbound,6701,11
1862,13,3,Outbound,4402,43
1510,2,1,Inbound,4104,41
1626,28,1,Inbound,4211,13
27,2,1,Outbound,6602,32
360,8,2,Outbound,6204,8
2401,37,1,Inbound,9901,35
1618,28,1,Outbound,4201,12
2135,20,1,Inbound,9405,9
1933,15,2,Inbound,6401,40
1580,5,3,Inbound,6003,22
554,16,2,Outbound,6604,14
1839,12,3,Outbound,6002,20
2287,11,2,Outbound,6602,2
1836,12,3,Outbound,6002,20
1273,35,2,Outbound,1012,19
1674,5,1,Outbound,6001,1
509,12,2,Outbound,6003,20
817,35,1,Inbound,1013,47
1526,2,1,Inbound,4104,41
1841,12,3,Inbound,6002,24
65,7,1,Inbound,4104,0
489,29,1,Inbound,4401,56
401,10,2,Outbound,6003,28
1033,14,1,Inbound,4405,67
319,7,3,Outbound,4102,4
2005,17,2,Inbound,6701,11
1547,2,2,Inbound,6403,41
93,7,1,Inbound,4101,0
1833,12,3,Outbound,6002,20
2226,35,1,Outbound,1011,5
1457,1,3,Inbound,1201,51
1170,16,3,Inbound,6603,18
1474,2,1,Outbound,4104,32
1709,5,1,Inbound,6021,22
2166,18,3,Outbound,6802,15
1270,35,2,Outbound,1011,19
283,7,2,Inbound,4102,0
880,8,2,Outbound,4402,8
1913,15,1,Inbound,6401,40
1428,1,1,Inbound,1222,70
2015,18,2,Outbound,6802,15
2058,20,2,Outbound,9401,36
2057,20,2,Outbound,9401,36
1601,7,1,Inbound,4122,0
598,11,1,Outbound,9403,2
2027,20,1,Outbound,9403,77
1715,9,1,Outbound,1202,17
1641,8,1,Inbound,4402,33
1928,15,2,Inbound,6402,40
987,13,1,Inbound,4403,21
1795,12,1,Outbound,6012,52
1333,35,2,Inbound,1011,74
577,16,3,Outbound,6603,14
1388,37,1,Inbound,9921,35
110,8,1,Outbound,4404,8
349,7,3,Inbound,4101,0
1866,13,3,Outbound,4402,43
811,35,1,Inbound,1013,47
488,29,1,Inbound,6203,56
2164,18,3,Outbound,6802,15
959,33,3,Outbound,6603,23
2362,14,2,Outbound,6202,48
1912,15,1,Inbound,6402,40
1780,10,3,Inbound,6003,7
1430,1,1,Inbound,1221,70
1029,14,1,Outbound,6202,54
828,35,1,Inbound,1012,47
1266,35,2,Outbound,1011,19
1677,5,1,Outbound,6002,1
838,35,1,Inbound,1013,47
746,35,1,Outbound,1013,5
1254,35,2,Outbound,1011,19
1023,14,1,Outbound,4403,54
962,33,3,Inbound,6603,78
1177,16,3,Inbound,6602,18
599,11,1,Outbound,9404,2
2146,29,2,Inbound,4301,56
21,2,1,Outbound,6601,32
1957,15,3,Inbound,6401,40
341,7,3,Inbound,4101,0
1479,2,1,Outbound,4101,32
850,7,3,Inbound,4101,0
1645,5,2,Outbound,6001,1
1821,12,1,Inbound,6002,24
980,13,1,Inbound,4402,21
170,11,1,Inbound,9404,3
127,8,1,Inbound,4405,33
1516,2,1,Inbound,4103,41
576,16,3,Outbound,6602,14
354,8,2,Outbound,6201,8
476,29,1,Outbound,4401,59
815,35,1,Inbound,1011,47
1251,35,2,Outbound,1012,19
2108,36,2,Inbound,4101,63
64,7,1,Inbound,4103,0
1823,12,1,Inbound,6022,45
1996,17,2,Outbound,6701,10
993,13,1,Inbound,6202,21
1898,14,1,Inbound,4407,67
978,13,1,Outbound,4405,69
2008,17,2,Inbound,6701,11
775,35,1,Outbound,1012,5
